"","SN","TN","trial_type","RT","MT","tgt_jump","tgt_jump_size","tgt_error","clamp","clamp_size","Hand","Hand_raw","Exp","Hand_dt","RT_dt"
"1955",3,155,1,323.978584289551,293,1,4,-4,1,0,7.81258303970584,7.81258303970584,"Supp1",-1.1877832121485,37.2000122070316
"1956",3,156,1,303.978576660156,294,1,4,-4,1,0,8.78088294314642,8.78088294314642,"Supp1",0.0495260238790536,1.40000762939439
"1957",3,157,1,536.978553771973,277,1,4,-4,1,0,4.83114216718648,4.83114216718648,"Supp1",-3.09561062009363,172.59998626709
"1958",3,158,1,290.978645324707,299,1,4,-4,1,0,7.71318909397463,7.71318909397463,"Supp1",0.0294996109912677,-60.7999328613282
"1959",3,159,1,308.978565216064,278,1,4,-4,1,0,10.5240112410094,10.5240112410094,"Supp1",2.59164954400485,-44.0000198364262
"1960",3,160,1,324.978591918945,316,1,4,-4,1,0,6.77052439318086,6.77052439318086,"Supp1",-0.953425574518698,-28.199994659424
"1961",3,161,1,289.978553771973,293,1,4,-4,1,0,4.18485694959435,4.18485694959435,"Supp1",-2.61988781939479,-60.4000282287594
"1962",3,162,1,340.978607177734,285,1,4,-4,1,0,8.81817046770802,8.81817046770802,"Supp1",1.21602003861457,29.8000144958494
"1963",3,163,1,311.97859954834,304,1,4,-4,1,0,9.83009471405057,9.83009471405057,"Supp1",1.80456316094193,-3.39998397827117
"1964",3,164,1,302.978538513184,290,1,4,-4,1,0,8.37921307090909,8.37921307090909,"Supp1",0.782641151820512,-11.2000396728512
"1965",3,165,1,323.978538513184,292,1,4,-4,1,0,13.3577552031321,13.3577552031321,"Supp1",4.44373712205327,9.99997100830097
"1966",3,166,1,438.978607177734,307,1,4,-4,1,0,9.84465623638951,9.84465623638951,"Supp1",-0.201321702048348,95.2000289916988
"1967",3,167,1,259.978576660156,291,1,4,-4,1,0,6.90450567952873,6.90450567952873,"Supp1",-2.75873930127327,-67.5999954223636
"1968",3,168,1,279.978626251221,290,1,4,-4,1,0,8.03045829435763,8.03045829435763,"Supp1",-1.27285940250578,-41.1999511718748
"1969",3,169,1,260.978546142578,308,1,4,-4,1,0,10.6975223680305,10.6975223680305,"Supp1",0.930542811742805,-51.8000328063966
"1970",3,170,1,287.978588104248,297,1,4,-4,1,0,6.49400265668466,6.49400265668466,"Supp1",-1.90022639031355,-17.6000007629394
"1971",3,171,1,435.978630065918,323,1,4,-4,1,0,8.04095884046215,8.04095884046215,"Supp1",0.00746927264941633,131.000036621094
"1972",3,172,1,220.978569030762,357,1,4,-4,1,0,11.4276294210766,11.4276294210766,"Supp1",2.48951510495429,-76.2000228881834
"1973",3,173,1,335.978576660156,364,1,4,-4,1,0,8.12373320159648,8.12373320159648,"Supp1",-0.833036095973599,27.5999946594236
"1974",3,174,1,460.978717803955,284,1,4,-4,1,0,7.35857361955981,7.35857361955981,"Supp1",-0.930405928316129,112.600101470947
"1975",3,175,1,443.978851318359,287,1,4,-4,1,0,8.19830561617235,8.19830561617235,"Supp1",-0.431534523601128,64.400182342529
"1976",3,176,1,491.978698730469,268,1,4,-4,1,0,8.01335094039608,8.01335094039608,"Supp1",-0.610967619364184,101.200016021729
"1977",3,177,1,76.9787216186523,258,1,4,-4,1,0,7.08879113734871,7.08879113734871,"Supp1",-0.667759765665976,-284.999991607666
"1978",3,178,1,327.978805541992,329,1,4,-4,1,0,10.0749562366935,10.0749562366935,"Supp1",1.92816072665941,-32.3999534606934
"1979",3,179,1,495.97811126709,289,1,4,-4,1,0,11.1146087904437,11.1146087904437,"Supp1",2.21660624623283,128.599473571778
"1980",3,180,1,448.978591918945,327,1,4,-4,1,0,12.4809025758807,12.4809025758807,"Supp1",2.72638063972816,80.6000061035153
"1981",3,181,2,303.978012084961,323,0,0,0,1,0,14.2693933525309,14.2693933525309,"Supp1",3.2636629339514,-26.8004364013671
"1982",3,182,2,319.978507995605,324,0,0,0,1,0,13.8830527322606,13.8830527322606,"Supp1",1.51846999469872,-59.3998977661136
"1983",3,183,2,266.978630065918,298,0,0,0,1,0,10.7777330987028,10.7777330987028,"Supp1",-1.72740501126094,-100.199740600586
"1984",3,184,2,454.978576660156,293,0,0,0,1,0,9.62853991948056,9.62853991948056,"Supp1",-2.57938441629055,96.000112915039
"1985",3,185,2,387.978675842285,312,0,0,0,1,0,8.55598910230709,8.55598910230709,"Supp1",-2.8669525387493,41.2001953125
"1986",3,186,2,316.978614807129,327,0,0,0,1,0,5.59495759097825,5.59495759097825,"Supp1",-4.09309689776761,-32.3999862670896
"1987",3,187,2,290.978591918945,324,0,0,0,1,0,9.09754333223029,9.09754333223029,"Supp1",0.366590723490491,-52.6000259399416
"1988",3,188,2,376.978561401367,294,0,0,0,1,0,5.05400991338981,5.05400991338981,"Supp1",-2.53219805828739,11.3999572753906
"1989",3,189,2,372.978672027588,275,0,0,0,1,0,10.3078169598279,10.3078169598279,"Supp1",2.58575358008123,23.8000488281252
"1990",3,190,2,360.978561401367,293,0,0,0,1,0,5.92152445934191,5.92152445934191,"Supp1",-1.27364599181172,17.1999610900878
"1991",3,191,2,352.97859954834,292,0,0,0,1,0,8.39417841535844,8.39417841535844,"Supp1",0.639163799328769,2.00000228881862
"1992",3,192,2,365.97859954834,281,0,0,0,1,0,9.83073193081107,9.83073193081107,"Supp1",1.92907959506524,7.62939578180521e-07
"1993",3,193,2,433.978607177734,293,0,0,0,1,0,13.7884521691752,13.7884521691752,"Supp1",4.1399113822723,56.5999992370602
"1994",3,194,2,408.978561401367,288,0,0,0,1,0,8.83916793226069,8.83916793226069,"Supp1",-0.515643049128771,24.3999755859374
"1995",3,195,2,350.978668212891,324,0,0,0,1,0,6.00960868503233,6.00960868503233,"Supp1",-3.36281914149522,-31.5999389648434
"1996",3,196,2,319.978538513184,319,0,0,0,1,0,9.67635412192723,9.67635412192723,"Supp1",0.0474911540859271,-56.0000564575192
"1997",3,197,2,313.978591918945,293,0,0,0,1,0,12.1618723993431,12.1618723993431,"Supp1",2.06678133779539,-51.6000015258792
"1998",3,198,2,251.978553771973,257,0,0,0,1,0,7.28545036107219,7.28545036107219,"Supp1",-1.50904033885492,-77.200028991699
"1999",3,199,2,289.978569030762,286,0,0,0,1,0,6.56641267246275,6.56641267246275,"Supp1",-1.77352697550477,-15.400015258789
"2000",3,200,2,432.978607177734,273,0,0,0,1,0,10.5739709252555,10.5739709252555,"Supp1",1.32115882924335,111.200035095214
"2001",3,201,2,493.978485107422,330,0,0,0,1,0,6.41151610948907,6.41151610948907,"Supp1",-2.18832838403545,137.399923706055
